"county_i","county_j","flow","Dist-ph","resdist","empldist"
8,4,916,162,"130580.4","196036.8"
8,5,14853,163,"130580.4","162334.7"
8,6,2056,164,"130580.4","174899.8"
8,7,2805,165,"130580.4","104210.2"
8,8,94740,166,"130580.4","130580.4"
8,9,144,167,"130580.4","327006.1"
8,10,16920,168,"130580.4","77670.95"
8,11,527,169,"130580.4","202339.4"
8,12,180,170,"130580.4","88204.77"
8,13,51726,171,"130580.4","73216.05"
8,14,6205,172,"130580.4","33011.23"
8,15,920,173,"130580.4","137902.3"
8,16,7973,174,"130580.4",0
8,17,543,175,"130580.4","48877.46"
8,18,459,176,"130580.4","39163.93"
8,19,523,177,"130580.4","46973.45"
8,20,4,178,"130580.4","243787.8"
8,21,439,179,"130580.4",153352
8,22,272,180,"130580.4","105186.3"
8,23,44,181,"130580.4","306569.5"
9,1,0,182,"327006.1","356365.4"
9,2,186,183,"327006.1","272892.8"
9,3,117,184,"327006.1",238833
9,4,1565,185,"327006.1","196036.8"
9,5,1494,186,"327006.1","162334.7"
9,6,11619,187,"327006.1","174899.8"
9,7,4419,188,"327006.1","104210.2"
9,8,766,189,"327006.1","130580.4"
9,9,119727,190,"327006.1","327006.1"
9,10,3550,191,"327006.1","77670.95"
9,11,36679,192,"327006.1","202339.4"
9,12,648,193,"327006.1","88204.77"
9,13,1547,194,"327006.1","73216.05"
9,14,2221,195,"327006.1","33011.23"
9,15,81,196,"327006.1","137902.3"
9,16,2853,197,"327006.1",0
9,17,635,198,"327006.1","48877.46"
9,18,108,199,"327006.1","39163.93"
9,19,219,200,"327006.1","46973.45"
9,21,26,201,"327006.1",153352
9,22,89,202,"327006.1","105186.3"
9,23,38,203,"327006.1","306569.5"
10,1,0,204,"77670.95","356365.4"
10,2,495,205,"77670.95","272892.8"
10,3,380,206,"77670.95",238833
10,4,3885,207,"77670.95","196036.8"
10,5,23415,208,"77670.95","162334.7"
10,6,9132,209,"77670.95","174899.8"
10,7,23051,210,"77670.95","104210.2"
10,8,14610,211,"77670.95","130580.4"
10,9,420,212,"77670.95","327006.1"
10,10,171997,213,"77670.95","77670.95"
10,11,1244,214,"77670.95","202339.4"
10,12,500,215,"77670.95","88204.77"
10,13,17138,216,"77670.95","73216.05"
10,14,15423,217,"77670.95","33011.23"
10,15,426,218,"77670.95","137902.3"
10,16,27075,219,"77670.95",0
10,17,2262,220,"77670.95","48877.46"
10,18,761,221,"77670.95","39163.93"
10,19,988,222,"77670.95","46973.45"
10,20,0,223,"77670.95","243787.8"
