x_i,y_i,x_j,y_j,f_ij,f_ji
196036.800000,48877.460000,48877.460000,196036.800000,655,470
39163.930000,46973.450000,46973.450000,39163.930000,17097,17420
327006.100000,306569.500000,306569.500000,327006.100000,38,22
174899.800000,243787.800000,243787.800000,174899.800000,0,24
162334.700000,243787.800000,243787.800000,162334.700000,12,54
137902.300000,243787.800000,243787.800000,137902.300000,144,373
202339.400000,243787.800000,243787.800000,202339.400000,0,4
77670.950000,243787.800000,243787.800000,77670.950000,0,50
104210.200000,48877.460000,48877.460000,104210.200000,1317,1441
88204.770000,306569.500000,306569.500000,88204.770000,173,461
137902.300000,153352.000000,153352.000000,137902.300000,10720,3336
33011.230000,46973.450000,46973.450000,33011.230000,2160,3973
48877.460000,48877.460000,48877.460000,48877.460000,417954,0
73216.050000,105186.300000,105186.300000,73216.050000,1350,1257
238833.000000,137902.300000,137902.300000,238833.000000,132,15
356365.400000,238833.000000,238833.000000,356365.400000,1704,167
130580.400000,73216.050000,73216.050000,130580.400000,51726,22930
196036.800000,130580.400000,130580.400000,196036.800000,966,916
272892.800000,130580.400000,130580.400000,272892.800000,272,157
162334.700000,73216.050000,73216.050000,162334.700000,11394,9080
238833.000000,153352.000000,153352.000000,238833.000000,107,8
77670.950000,137902.300000,137902.300000,77670.950000,426,815
130580.400000,46973.450000,46973.450000,130580.400000,523,658
0.000000,0.000000,0.000000,0.000000,627495,0
196036.800000,105186.300000,105186.300000,196036.800000,106,63
202339.400000,33011.230000,33011.230000,202339.400000,5832,871
33011.230000,243787.800000,243787.800000,33011.230000,10,22
327006.100000,39163.930000,39163.930000,327006.100000,108,152
104210.200000,202339.400000,202339.400000,104210.200000,1605,7872
174899.800000,48877.460000,48877.460000,174899.800000,3157,1646
162334.700000,306569.500000,306569.500000,162334.700000,51,130
202339.400000,46973.450000,46973.450000,202339.400000,953,242
153352.000000,153352.000000,153352.000000,153352.000000,261586,0
104210.200000,243787.800000,243787.800000,104210.200000,4,20
88204.770000,243787.800000,243787.800000,88204.770000,14,12
272892.800000,46973.450000,46973.450000,272892.800000,102,8
137902.300000,48877.460000,48877.460000,137902.300000,1797,610
33011.230000,306569.500000,306569.500000,33011.230000,107,589
46973.450000,243787.800000,243787.800000,46973.450000,120,512
238833.000000,77670.950000,77670.950000,238833.000000,3734,380
356365.400000,33011.230000,33011.230000,356365.400000,195,0
130580.400000,77670.950000,77670.950000,130580.400000,16920,14610
196036.800000,73216.050000,73216.050000,196036.800000,2215,1329
272892.800000,73216.050000,73216.050000,272892.800000,519,112
327006.100000,202339.400000,202339.400000,327006.100000,36679,9953
238833.000000,0.000000,0.000000,238833.000000,1304,218
130580.400000,0.000000,0.000000,130580.400000,7973,889
174899.800000,137902.300000,137902.300000,174899.800000,97,285
202339.400000,73216.050000,73216.050000,202339.400000,3265,904
104210.200000,33011.230000,33011.230000,104210.200000,7886,6289
174899.800000,39163.930000,39163.930000,174899.800000,342,475
88204.770000,33011.230000,33011.230000,88204.770000,2850,858
356365.400000,306569.500000,306569.500000,356365.400000,54,0
73216.050000,137902.300000,137902.300000,73216.050000,5510,12251
243787.800000,306569.500000,306569.500000,243787.800000,46,26
356365.400000,196036.800000,196036.800000,356365.400000,103,0
238833.000000,327006.100000,327006.100000,238833.000000,80,117
272892.800000,238833.000000,238833.000000,272892.800000,68,181
356365.400000,327006.100000,327006.100000,356365.400000,26,0
272892.800000,33011.230000,33011.230000,272892.800000,566,251
174899.800000,130580.400000,130580.400000,174899.800000,1851,2056
162334.700000,0.000000,0.000000,162334.700000,10930,1406
77670.950000,0.000000,0.000000,77670.950000,27075,2834
104210.200000,73216.050000,73216.050000,104210.200000,5149,4711
88204.770000,46973.450000,46973.450000,88204.770000,5368,5002
39163.930000,243787.800000,243787.800000,39163.930000,100,1908
356365.400000,39163.930000,39163.930000,356365.400000,163,0
48877.460000,153352.000000,153352.000000,48877.460000,3039,4313
39163.930000,306569.500000,306569.500000,39163.930000,679,2401
73216.050000,39163.930000,39163.930000,73216.050000,5087,4186
153352.000000,105186.300000,105186.300000,153352.000000,1892,2787
356365.400000,104210.200000,104210.200000,356365.400000,172,0
0.000000,153352.000000,153352.000000,0.000000,7370,76673
46973.450000,153352.000000,153352.000000,46973.450000,5871,5525
238833.000000,196036.800000,196036.800000,238833.000000,869,239
272892.800000,196036.800000,196036.800000,272892.800000,12919,3567
327006.100000,88204.770000,88204.770000,327006.100000,648,61
162334.700000,327006.100000,327006.100000,162334.700000,221,1494
196036.800000,104210.200000,104210.200000,196036.800000,11420,11922
77670.950000,202339.400000,202339.400000,77670.950000,1244,8174
130580.400000,306569.500000,306569.500000,130580.400000,44,88
174899.800000,174899.800000,174899.800000,174899.800000,197440,0
162334.700000,174899.800000,174899.800000,162334.700000,3984,6279
196036.800000,39163.930000,39163.930000,196036.800000,73,148
327006.100000,105186.300000,105186.300000,327006.100000,89,0
104210.200000,104210.200000,104210.200000,104210.200000,112023,0
174899.800000,153352.000000,153352.000000,174899.800000,236,205
162334.700000,46973.450000,46973.450000,162334.700000,394,590
202339.400000,306569.500000,306569.500000,202339.400000,70,76
77670.950000,153352.000000,153352.000000,77670.950000,563,547
104210.200000,0.000000,0.000000,104210.200000,15749,966
88204.770000,0.000000,0.000000,88204.770000,52078,2720
73216.050000,153352.000000,153352.000000,73216.050000,3447,3018
238833.000000,33011.230000,33011.230000,238833.000000,1041,142
243787.800000,105186.300000,105186.300000,243787.800000,146,53
356365.400000,272892.800000,272892.800000,356365.400000,28,0
130580.400000,33011.230000,33011.230000,130580.400000,6205,4681
196036.800000,327006.100000,327006.100000,196036.800000,182,1565
238833.000000,238833.000000,238833.000000,238833.000000,29428,0
272892.800000,327006.100000,327006.100000,272892.800000,83,186
327006.100000,137902.300000,137902.300000,327006.100000,81,20
162334.700000,88204.770000,88204.770000,162334.700000,108,559
196036.800000,196036.800000,196036.800000,196036.800000,65989,0
238833.000000,243787.800000,243787.800000,238833.000000,8,0
77670.950000,88204.770000,88204.770000,77670.950000,500,1538
130580.400000,243787.800000,243787.800000,130580.400000,4,4
243787.800000,243787.800000,243787.800000,243787.800000,13639,0
137902.300000,0.000000,0.000000,137902.300000,16574,949
196036.800000,306569.500000,306569.500000,196036.800000,18,74
327006.100000,48877.460000,48877.460000,327006.100000,635,173
104210.200000,77670.950000,77670.950000,104210.200000,31531,23051
174899.800000,105186.300000,105186.300000,174899.800000,601,324
162334.700000,105186.300000,105186.300000,162334.700000,265,214
202339.400000,39163.930000,39163.930000,202339.400000,299,68
77670.950000,105186.300000,105186.300000,77670.950000,803,388
104210.200000,306569.500000,306569.500000,104210.200000,34,158
88204.770000,153352.000000,153352.000000,88204.770000,298,412
272892.800000,0.000000,0.000000,272892.800000,1164,102
48877.460000,46973.450000,46973.450000,48877.460000,59711,83772
238833.000000,73216.050000,73216.050000,238833.000000,4499,311
356365.400000,73216.050000,73216.050000,356365.400000,467,0
130580.400000,202339.400000,202339.400000,130580.400000,527,926
137902.300000,306569.500000,306569.500000,137902.300000,92,60
196036.800000,33011.230000,33011.230000,196036.800000,2122,1351
272892.800000,77670.950000,77670.950000,272892.800000,1895,495
327006.100000,77670.950000,77670.950000,327006.100000,3550,420
162334.700000,137902.300000,137902.300000,162334.700000,377,817
238833.000000,46973.450000,46973.450000,238833.000000,140,8
0.000000,39163.930000,39163.930000,0.000000,20194,156469
130580.400000,48877.460000,48877.460000,130580.400000,543,506
174899.800000,88204.770000,88204.770000,174899.800000,2354,2816
202339.400000,88204.770000,88204.770000,202339.400000,3037,532
104210.200000,327006.100000,327006.100000,104210.200000,421,4419
174899.800000,46973.450000,46973.450000,174899.800000,1402,1114
88204.770000,137902.300000,137902.300000,88204.770000,86,102
202339.400000,48877.460000,48877.460000,202339.400000,3565,562
356365.400000,105186.300000,105186.300000,356365.400000,78,0
105186.300000,105186.300000,105186.300000,105186.300000,352400,0
73216.050000,33011.230000,33011.230000,73216.050000,24581,25273
272892.800000,153352.000000,153352.000000,272892.800000,18,8
306569.500000,306569.500000,306569.500000,306569.500000,481621,0
238833.000000,130580.400000,130580.400000,238833.000000,4079,480
243787.800000,153352.000000,153352.000000,243787.800000,19483,2317
356365.400000,130580.400000,130580.400000,356365.400000,261,8
130580.400000,130580.400000,130580.400000,130580.400000,94740,0
46973.450000,306569.500000,306569.500000,46973.450000,10422,23668
272892.800000,137902.300000,137902.300000,272892.800000,14,20
33011.230000,137902.300000,137902.300000,33011.230000,424,951
0.000000,243787.800000,243787.800000,0.000000,57,4131
